,amount,bought_amount,close,high,low,open,sold_amount,volume,datetime,instrument_id,exchange_id
516,34617952.0,16228313.0,6.96,7.0,6.87,6.88,18389639.0,4992631.0,2012-03-02,600288,SH
517,30427053.0,14390712.0,6.95,7.07,6.91,6.99,16036341.0,4358090.0,2012-03-05,600288,SH
518,50455738.0,17807710.0,6.9,6.98,6.69,6.94,32648028.0,7411254.0,2012-03-06,600288,SH
519,58045258.0,29131014.0,7.01,7.05,6.72,6.76,28914244.0,8367081.0,2012-03-07,600288,SH
520,98236238.0,56008642.0,7.23,7.35,7.0,7.04,42227596.0,13630237.0,2012-03-08,600288,SH
521,106921104.0,58124380.0,7.38,7.54,7.16,7.25,48796724.0,14584459.0,2012-03-09,600288,SH
522,62067470.0,29683592.0,7.29,7.62,7.23,7.3,32383878.0,8448926.0,2012-03-12,600288,SH
523,45564581.0,20220919.5,7.32,7.34,7.16,7.29,25343661.5,6296676.0,2012-03-13,600288,SH
524,66509264.0,27959241.5,6.92,7.37,6.81,7.34,38550022.5,9278912.0,2012-03-14,600288,SH
525,29532703.0,12229437.0,6.67,6.93,6.56,6.88,17303266.0,4388436.0,2012-03-15,600288,SH
526,31083175.0,16538066.0,6.81,6.84,6.64,6.68,14545109.0,4608424.0,2012-03-16,600288,SH
527,45000772.0,22961284.0,6.87,6.89,6.64,6.8,22039488.0,6654770.0,2012-03-19,600288,SH
528,28549409.0,8525036.0,6.63,6.83,6.62,6.83,20024373.0,4260424.0,2012-03-20,600288,SH
529,25686616.0,11792707.0,6.71,6.73,6.54,6.65,13893909.0,3866452.0,2012-03-21,600288,SH
530,19875866.0,9241963.0,6.72,6.75,6.61,6.69,10633903.0,2970996.0,2012-03-22,600288,SH
531,20551286.0,6956522.0,6.5,6.68,6.42,6.68,13594764.0,3129526.0,2012-03-23,600288,SH
532,14581632.0,7553498.0,6.52,6.56,6.43,6.5,7028134.0,2246954.0,2012-03-26,600288,SH
533,13304086.0,6732405.0,6.51,6.58,6.49,6.56,6571681.0,2033495.0,2012-03-27,600288,SH
534,23450670.0,9136672.0,6.05,6.48,6.01,6.48,14313998.0,3755507.0,2012-03-28,600288,SH
535,23592448.0,13291216.0,6.01,6.1,5.84,6.0,10301232.0,3954313.0,2012-03-29,600288,SH
536,31594166.0,16660994.0,6.06,6.16,5.96,5.96,14933172.0,5206845.0,2012-03-30,600288,SH
537,22971333.0,12578870.0,6.23,6.25,6.03,6.07,10392463.0,3734645.0,2012-04-05,600288,SH
538,42279271.0,23654394.0,6.48,6.49,6.18,6.24,18624877.0,6666089.0,2012-04-06,600288,SH
539,61525859.0,35777413.0,6.51,6.66,6.41,6.41,25748446.0,9397171.0,2012-04-09,600288,SH
540,42530006.0,19430629.0,6.47,6.48,6.1,6.47,23099377.0,6739249.0,2012-04-10,600288,SH
541,23599617.0,10975100.5,6.37,6.47,6.25,6.29,12624516.5,3700905.0,2012-04-11,600288,SH
542,39621966.0,21475252.5,6.58,6.64,6.33,6.33,18146713.5,6079630.0,2012-04-12,600288,SH
543,32016755.0,16386048.0,6.68,6.73,6.53,6.59,15630707.0,4814529.0,2012-04-13,600288,SH
544,61363257.0,33066727.0,6.87,6.96,6.6,6.66,28296530.0,8973394.0,2012-04-16,600288,SH
545,38253676.0,15885051.0,6.74,6.89,6.73,6.8,22368625.0,5619186.0,2012-04-17,600288,SH
546,46061638.0,23687538.5,6.87,6.92,6.7,6.81,22374099.5,6750647.0,2012-04-18,600288,SH
547,43560766.0,19305478.0,6.85,6.96,6.81,6.86,24255288.0,6325186.0,2012-04-19,600288,SH
548,110581401.0,66900705.0,7.13,7.27,6.86,6.86,43680696.0,15603174.0,2012-04-20,600288,SH
549,184723884.0,95326793.0,7.21,7.68,7.08,7.19,89397091.0,24948409.0,2012-04-23,600288,SH
550,113565554.0,53600105.5,7.15,7.49,6.65,7.17,59965448.5,16013737.0,2012-04-24,600288,SH
551,172404709.0,96245231.0,7.48,7.69,7.15,7.2,76159478.0,23135067.0,2012-04-25,600288,SH
552,84540026.0,34716605.0,7.35,7.45,7.21,7.44,49823421.0,11519629.0,2012-04-26,600288,SH
553,64152277.0,25830977.0,7.13,7.38,7.05,7.35,38321300.0,8974193.0,2012-04-27,600288,SH
554,61776867.0,28956301.5,7.14,7.37,7.11,7.33,32820565.5,8574981.0,2012-05-02,600288,SH
555,84588085.0,36720252.5,7.0,7.14,6.85,7.07,47867832.5,12095088.0,2012-05-03,600288,SH
556,50321350.0,24045117.0,7.01,7.09,6.92,7.02,26276233.0,7183676.0,2012-05-04,600288,SH
557,49527629.0,24250922.0,7.08,7.09,6.94,6.95,25276707.0,7047537.0,2012-05-07,600288,SH
558,47105033.0,21978420.0,7.09,7.14,6.99,7.08,25126613.0,6654221.0,2012-05-08,600288,SH
559,36773481.0,12201377.0,6.85,7.05,6.84,7.0,24572104.0,5301803.0,2012-05-09,600288,SH
560,27324594.0,12659582.0,6.84,6.92,6.78,6.78,14665012.0,3979760.0,2012-05-10,600288,SH
561,30397062.0,15212427.0,6.87,7.02,6.85,6.85,15184635.0,4383672.0,2012-05-11,600288,SH
562,47411759.0,23463522.5,6.99,7.09,6.83,6.95,23948236.5,6775599.0,2012-05-14,600288,SH
563,48439012.0,27133045.0,7.07,7.1,6.86,6.94,21305967.0,6908904.0,2012-05-15,600288,SH
564,36120917.0,15246151.0,6.86,7.06,6.85,7.04,20874766.0,5176622.0,2012-05-16,600288,SH
565,35520805.0,18560374.0,7.04,7.05,6.85,6.85,16960431.0,5099672.0,2012-05-17,600288,SH
566,32449578.0,12676616.5,6.89,7.08,6.86,6.99,19772961.5,4664130.0,2012-05-18,600288,SH
567,31184198.0,12832594.5,6.73,6.95,6.69,6.86,18351603.5,4602941.0,2012-05-21,600288,SH
568,28459197.0,14554075.0,6.81,6.88,6.74,6.76,13905122.0,4190972.0,2012-05-22,600288,SH
569,41330490.0,16053699.0,6.61,6.8,6.58,6.8,25276791.0,6200411.0,2012-05-23,600288,SH
570,30049313.0,12845095.5,6.52,6.67,6.46,6.59,17204217.5,4570581.0,2012-05-24,600288,SH
571,20633336.0,8802136.5,6.41,6.53,6.35,6.38,11831199.5,3211592.0,2012-05-25,600288,SH
572,21154359.0,12838664.0,6.54,6.55,6.28,6.4,8315695.0,3287297.0,2012-05-28,600288,SH
