Date	Open	High	Low	Close	Volume	Adj Close
2014/2/21	6.25	6.25	6.16	6.25	1173.06	0.05
2014/2/24	6.2	6.48	6.18	6.41	2970.48	0.16
2014/2/25	6.35	6.38	6.06	6.18	2476.48	-0.23
2014/2/26	6.24	6.24	6.09	6.2	1924.48	0.02
2014/2/27	6.25	6.4	6.2	6.4	5633.12	0.2
2014/2/28	6.35	6.7	6.34	6.64	5865.51	0.24
2014/3/3	6.62	6.84	6.52	6.64	1831.49	0
2014/3/4	6.7	6.73	6.58	6.72	3660.09	0.08
2014/3/5	6.79	6.89	6.74	6.86	6306	0.14
2014/3/6	6.72	6.98	6.65	6.91	4980.42	0.05
2014/3/7	6.72	7.29	6.72	7.17	5075.93	0.26
2014/3/10	7.24	7.24	6.91	7.13	3617.57	-0.04
2014/3/11	7	7.17	6.91	6.98	1714	-0.15
2014/3/12	6.98	7.03	6.9	7.02	4795.56	0.04
2014/3/13	7.01	7.15	6.98	7.13	3347.69	0.11
2014/3/14	6.95	7.48	6.95	7.26	3449.34	0.13
2014/3/17	7.05	7.36	7.05	7.36	1536.56	0.1
2014/3/18	7.29	7.41	7.22	7.39	3546.1	0.03
2014/3/19	7.4	7.66	7.31	7.51	3528.42	0.12
2014/3/20	7.5	7.5	7.26	7.39	1327	-0.12
2014/3/21	7.41	7.67	7.35	7.47	2130.99	0.08
2014/3/24	7.52	7.52	7.32	7.38	1464.53	-0.09
2014/3/25	7.3	7.35	7.2	7.29	2318.09	-0.09
2014/3/26	7.28	7.45	7.26	7.3	770	0.01
2014/3/27	7.2	7.42	7.15	7.33	1244.19	0.03
2014/3/28	7.25	7.5	7.25	7.5	1986	0.17
2014/3/31	7.67	7.67	7.22	7.35	1339	-0.15
2014/4/1	7.28	7.37	7.15	7.3	2693.01	-0.05
2014/4/2	7.1	7.45	7.1	7.3	384	0
2014/4/3	7.63	7.63	7.28	7.36	1429	0.06
2014/4/4	7.61	7.61	7.33	7.57	2398.9	0.21
2014/4/8	7.68	8.32	7.67	8.32	10678.96	0.75
2014/4/9	8.32	8.99	8.31	8.99	14746.07	0.67
2014/4/10	8.71	8.88	8.32	8.69	13182.75	-0.3
2014/4/11	8.1	8.9	8.1	8.9	5620.21	0.21
2014/4/14	8.53	8.64	8.34	8.64	1936	-0.26
2014/4/15	8.38	8.48	8.28	8.44	1089	-0.2
2014/4/16	8.4	8.47	8.24	8.37	836	-0.07
2014/4/17	8.37	8.69	8.22	8.41	2009	0.04
2014/4/18	8.28	8.38	8.19	8.38	787	-0.03
2014/4/21	8.2	8.37	8.18	8.33	1274.99	-0.05
2014/4/22	8.13	8.32	8.06	8.32	1503.87	-0.01
2014/4/23	8.16	8.37	8.09	8.22	1203	-0.1
2014/4/24	8.26	8.36	7.8	8.2	302	-0.02
2014/4/25	8.1	8.5	8.1	8.27	895	0.07
2014/4/28	8.2	8.28	7.9	8.28	1681	0.01
2014/4/29	8.18	8.26	8.06	8.26	394	-0.02
2014/4/30	8.08	8.89	8.08	8.89	3040	0.63
2014/5/5	8.45	8.46	8	8.32	5036	-0.57
2014/5/6	8	8.08	7.9	7.98	1653	-0.34
2014/5/7	8.04	8.04	7.76	7.81	1133	-0.17
2014/5/8	7.83	7.87	7.73	7.84	557.1	0.03
2014/5/9	7.75	7.75	7.59	7.65	477.02	-0.19
2014/5/12	7.61	7.99	7.61	7.78	1439.01	0.12
2014/5/13	7.76	7.97	7.76	7.95	1812.81	0.17
2014/5/14	6.63	6.84	6.61	6.84	690.04	0.21
2014/5/15	6.84	6.84	6.72	6.77	588	-0.07
2014/5/16	6.65	6.79	6.62	6.64	619.39	-0.13
2014/5/19	6.44	6.53	6.36	6.49	1680.9	-0.15
2014/5/20	6.46	6.57	6.45	6.55	113.1	0.06
2014/5/21	6.45	6.57	6.45	6.55	929.75	0
2014/5/22	6.45	6.96	6.45	6.57	905	0.02
2014/5/23	6.66	6.66	6.45	6.56	234	-0.01
2014/5/26	6.47	6.58	6.42	6.57	241	0.01
2014/5/27	6.57	6.77	6.43	6.69	1607.05	0.12
2014/5/28	6.65	6.65	6.5	6.57	299.2	-0.12
2014/5/29	6.59	6.59	6.45	6.55	200.8	-0.02
2014/5/30	6.45	6.78	6.4	6.66	1619.2	0.11
2014/6/3	6.53	6.59	6.53	6.59	379.4	-0.07
2014/6/4	6.5	6.6	6.5	6.6	322.4	0.01
2014/6/5	6.09	6.59	6.09	6.58	86.4	-0.02
2014/6/6	6.57	6.84	6.45	6.84	753.28	0.26
2014/6/9	6.65	6.75	6.62	6.7	526.6	-0.14
2014/6/10	6.7	6.79	6.6	6.77	817.17	0.07
2014/6/11	6.75	6.84	6.68	6.75	1057.6	-0.02
2014/6/12	6.75	6.81	6.63	6.73	358.4	-0.02
2014/6/13	6.71	6.83	6.66	6.77	451.8	0.04
2014/6/16	6.8	6.8	6.67	6.75	811.06	-0.02
2014/6/17	6.7	6.78	6.69	6.76	472.21	0.01
2014/6/18	6.75	6.75	6.7	6.75	396	-0.01
2014/6/19	6.76	6.76	6.66	6.75	338.2	0
2014/6/20	6.71	6.75	6.67	6.75	249.6	0
2014/6/23	6.71	6.86	6.71	6.86	823	0.11
2014/6/24	6.85	6.85	6.8	6.83	328.6	-0.03
2014/6/25	6.81	6.85	6.7	6.84	380.4	0.01
2014/6/26	6.84	6.94	6.82	6.89	313.6	0.05
2014/6/27	6.9	7.12	6.85	7.12	996.18	0.23
2014/6/30	7.12	7.12	7	7.09	517.4	-0.03
2014/7/1	7.08	7.08	6.91	7.06	219.8	-0.03
2014/7/2	7.03	7.04	6.96	7.04	384.75	-0.02
2014/7/3	7.04	7.2	6.97	7.2	888.4	0.16
2014/7/4	7.15	7.19	6.95	6.98	1019.59	-0.22
2014/7/7	6.97	7.04	6.84	6.9	938.4	-0.08
2014/7/8	6.87	6.87	6.71	6.84	738	-0.06
2014/7/9	6.78	6.89	6.69	6.85	1065.4	0.01
2014/7/10	6.83	6.85	6.8	6.85	337.4	0
